Designator,Mid X,Mid Y,Rotation,Layer
C101,122.405,-93.75,180.0,top
C102,123.2175,-89.6375,90.0,top
C103,122.355,-101.75,180.0,top
C104,122.9675,-97.6875,90.0,top
C201,135.8625,-101.75,180.0,top
C202,143.6125,-92.97,180.0,top
C203,139.1375,-93.0,0.0,top
C204,135.7,-98.9625,90.0,top
C205,147.0,-93.8375,270.0,top
C206,145.1375,-103.25,180.0,top
C207,123.2625,-104.7,180.0,top
C301,111.485,-94.38,90.0,top
C302,103.7625,-97.25,180.0,top
C303,103.7375,-99.0,180.0,top
C304,113.3875,-97.1,180.0,top
C305,116.8875,-97.0,0.0,top
C306,116.25,-100.4375,270.0,top
C307,110.75,-97.8875,90.0,top
C308,113.0,-100.4375,270.0,top
C309,111.485,-90.13,270.0,top
C310,109.5,-86.7,180.0,top
C311,113.985,-87.2425,180.0,top
C312,118.2125,-86.8875,0.0,top
J201,128.25,-104.61,90.0,top
J202,145.5,-105.5,90.0,top
J204,156.25,-98.5,90.0,top
J301,103.05,-92.15,0.0,top
R201,142.4,-104.3375,90.0,top
R202,148.25,-97.5,0.0,top
R203,148.3375,-99.0,0.0,top
R204,155.0,-91.8,0.0,top
R205,158.5,-90.8375,90.0,top
R301,107.7125,-97.25,180.0,top
R302,107.7125,-99.0,180.0,top
SW201,138.0,-88.8,0.0,top
SW202,138.0,-104.75,0.0,top
SW203,145.5,-88.8,0.0,top
U101,129.5,-90.86,0.0,top
U102,129.5,-99.11,0.0,top
U201,141.8125,-98.25,0.0,top
U301,116.025,-92.1375,90.0,top
